driverid,lap,Position,Time
coulthard,1,1,1:38.384
damon_hill,1,2,1:39.144
michael_schumacher,1,3,1:39.284
salo,1,4,1:41.931
berger,1,5,1:42.081
barrichello,1,6,1:43.987
alesi,1,7,1:44.868
irvine,1,8,1:45.343
brundle,1,9,1:45.971
verstappen,1,10,1:46.403
frentzen,1,11,1:47.183
herbert,1,12,1:47.410
hakkinen,1,13,1:48.202
diniz,1,14,1:48.619
panis,1,15,1:49.047
katayama,1,16,1:49.458
rosset,1,17,1:50.264
lamy,1,18,1:50.614
fisichella,1,19,1:50.984
badoer,1,20,1:51.719
villeneuve,1,21,2:57.527
michael_schumacher,1,1,1:58.788
fisichella,1,2,2:05.442
ralf_schumacher,1,3,2:07.300
frentzen,1,4,2:07.505
barrichello,1,5,2:08.726
herbert,1,6,2:09.683
coulthard,1,7,2:11.201
panis,1,8,2:13.020
villeneuve,1,9,2:15.043
hakkinen,1,10,2:15.786
alesi,1,11,2:16.327
irvine,1,12,2:16.849
damon_hill,1,13,2:17.648
berger,1,14,2:18.281
salo,1,15,2:19.158
verstappen,1,16,2:20.261
trulli,1,17,2:22.487
magnussen,1,18,2:22.547
katayama,1,19,2:24.329
nakano,1,20,2:25.525
larini,1,21,2:29.462
hakkinen,1,1,1:28.177
coulthard,1,2,1:29.994
irvine,1,3,1:32.188
fisichella,1,4,1:32.691
michael_schumacher,1,5,1:33.409
wurz,1,6,1:34.059
barrichello,1,7,1:35.113
villeneuve,1,8,1:35.956
herbert,1,9,1:36.387
damon_hill,1,10,1:37.026
trulli,1,11,1:37.725
panis,1,12,1:37.934
magnussen,1,13,1:38.638
salo,1,14,1:39.413
takagi,1,15,1:40.521
nakano,1,16,1:40.979
ralf_schumacher,1,17,1:41.333
tuero,1,18,1:41.861
alesi,1,19,1:45.424
frentzen,1,20,1:58.256
diniz,1,21,3:08.069
hakkinen,1,1,1:29.978
coulthard,1,2,1:31.244
villeneuve,1,3,1:32.511
michael_schumacher,1,4,1:33.083
irvine,1,5,1:33.782
trulli,1,6,1:34.345
alesi,1,7,1:35.386
ralf_schumacher,1,8,1:36.188
frentzen,1,9,1:37.024
barrichello,1,10,1:37.464
herbert,1,11,1:37.969
diniz,1,12,1:39.013
damon_hill,1,13,1:39.591
fisichella,1,14,1:40.160
zanardi,1,15,1:40.729
wurz,1,16,1:41.470
salo,1,17,1:41.835
rosa,1,18,1:42.190
takagi,1,19,1:42.610
badoer,1,20,1:42.947
panis,1,21,3:13.764
michael_schumacher,1,1,1:28.772
hakkinen,1,2,1:29.914
ralf_schumacher,1,3,1:31.001
coulthard,1,4,1:31.504
barrichello,1,5,1:32.475
villeneuve,1,6,1:33.780
frentzen,1,7,1:34.377
trulli,1,8,1:34.824
button,1,9,1:35.061
salo,1,10,1:35.524
zonta,1,11,1:36.315
irvine,1,12,1:36.963
verstappen,1,13,1:37.259
wurz,1,14,1:37.670
herbert,1,15,1:38.060
fisichella,1,16,1:38.493
alesi,1,17,1:38.729
rosa,1,18,1:39.009
gene,1,19,1:39.794
heidfeld,1,20,1:40.309
mazzacane,1,21,1:40.784
michael_schumacher,1,1,1:26.078
hakkinen,1,2,1:26.742
barrichello,1,3,1:28.169
ralf_schumacher,1,4,1:29.610
trulli,1,5,1:30.376
montoya,1,6,1:31.507
villeneuve,1,7,1:31.911
heidfeld,1,8,1:32.492
irvine,1,9,1:33.784
raikkonen,1,10,1:34.076
panis,1,11,1:34.379
verstappen,1,12,1:34.778
alesi,1,13,1:36.072
burti,1,14,1:37.008
fisichella,1,15,1:37.601
alonso,1,16,1:38.117
rosa,1,17,1:38.854
frentzen,1,18,1:39.153
button,1,19,1:39.939
marques,1,20,1:40.569
bernoldi,1,21,1:43.182
coulthard,1,22,1:52.207
michael_schumacher,1,1,1:25.460
ralf_schumacher,1,2,1:27.019
montoya,1,3,1:27.987
raikkonen,1,4,1:28.602
button,1,5,1:29.178
coulthard,1,6,1:29.765
trulli,1,7,1:30.376
heidfeld,1,8,1:31.005
massa,1,9,1:31.430
frentzen,1,10,1:32.570
panis,1,11,1:32.939
fisichella,1,12,1:33.382
sato,1,13,1:33.965
bernoldi,1,14,1:34.354
villeneuve,1,15,1:34.862
salo,1,16,1:35.321
mcnish,1,17,1:35.660
irvine,1,18,1:36.435
rosa,1,19,1:37.068
michael_schumacher,1,1,1:38.408
barrichello,1,2,1:40.023
alonso,1,3,1:41.158
ralf_schumacher,1,4,1:45.076
button,1,5,1:45.799
montoya,1,6,1:49.260
villeneuve,1,7,1:50.542
matta,1,8,1:52.865
wilson,1,9,1:53.480
heidfeld,1,10,1:54.351
fisichella,1,11,1:55.098
firman,1,12,1:55.490
verstappen,1,13,1:55.626
panis,1,14,1:56.502
frentzen,1,15,1:56.880
coulthard,1,16,1:57.824
webber,1,17,1:58.526
trulli,1,1,1:22.573
michael_schumacher,1,2,1:23.171
sato,1,3,1:24.460
montoya,1,4,1:25.194
barrichello,1,5,1:26.194
alonso,1,6,1:26.486
panis,1,7,1:27.155
coulthard,1,8,1:28.123
ralf_schumacher,1,9,1:28.442
raikkonen,1,10,1:29.046
fisichella,1,11,1:29.813
webber,1,12,1:30.120
matta,1,13,1:30.781
button,1,14,1:31.143
massa,1,15,1:31.936
pantano,1,16,1:32.579
klien,1,17,1:32.953
heidfeld,1,18,1:33.539
bruni,1,19,1:34.103
baumgartner,1,20,1:35.931
raikkonen,1,1,1:58.371
alonso,1,2,1:58.925
ralf_schumacher,1,3,1:59.823
webber,1,4,2:00.685
trulli,1,5,2:01.775
fisichella,1,6,2:02.481
michael_schumacher,1,7,2:03.159
montoya,1,8,2:03.956
coulthard,1,9,2:05.443
massa,1,10,2:06.284
villeneuve,1,11,2:07.780
heidfeld,1,12,2:09.381
liuzzi,1,13,2:10.256
barrichello,1,14,2:12.413
karthikeyan,1,15,2:14.493
monteiro,1,16,2:15.731
albers,1,17,5:57.175
friesacher,1,18,6:31.146
alonso,1,1,1:40.144
michael_schumacher,1,2,1:40.737
massa,1,3,1:41.664
button,1,4,1:43.101
raikkonen,1,5,1:43.539
trulli,1,6,1:44.208
barrichello,1,7,1:45.334
villeneuve,1,8,1:45.994
heidfeld,1,9,1:46.563
fisichella,1,10,1:46.816
montoya,1,11,1:47.075
webber,1,12,1:47.626
klien,1,13,1:48.546
sato,1,14,1:49.158
ralf_schumacher,1,15,1:49.502
speed,1,16,1:49.895
monteiro,1,17,1:50.218
albers,1,18,1:50.614
rosberg,1,19,1:51.337
montagny,1,20,1:51.958
coulthard,1,21,1:57.175
alonso,1,1,1:24.494
hamilton,1,2,1:25.051
massa,1,3,1:26.484
fisichella,1,4,1:27.414
heidfeld,1,5,1:29.283
rosberg,1,6,1:29.764
barrichello,1,7,1:31.123
webber,1,8,1:32.110
kubica,1,9,1:32.734
wurz,1,10,1:33.546
button,1,11,1:33.942
raikkonen,1,12,1:34.371
liuzzi,1,13,1:35.137
speed,1,14,1:35.706
coulthard,1,15,1:36.131
kovalainen,1,16,1:36.820
sato,1,17,1:37.278
trulli,1,18,1:38.740
davidson,1,19,1:39.204
sutil,1,20,1:39.860
albers,1,21,1:40.416
ralf_schumacher,1,22,1:41.290
massa,1,1,1:53.202
hamilton,1,2,1:54.050
kubica,1,3,1:55.987
kovalainen,1,4,1:56.785
alonso,1,5,1:57.681
raikkonen,1,6,1:58.974
webber,1,7,2:00.313
heidfeld,1,8,2:01.668
rosberg,1,9,2:03.321
coulthard,1,10,2:04.250
trulli,1,11,2:05.584
button,1,12,2:06.126
barrichello,1,13,2:07.588
vettel,1,14,2:07.784
sutil,1,15,2:08.369
glock,1,16,2:08.477
bourdais,1,17,2:09.345
piquet_jr,1,18,2:10.290
nakajima,1,19,2:31.878
barrichello,1,1,1:44.931
button,1,2,1:45.986
massa,1,3,1:47.282
vettel,1,4,1:48.214
webber,1,5,1:49.246
alonso,1,6,1:50.860
rosberg,1,7,1:51.701
glock,1,8,1:52.932
heidfeld,1,9,1:55.307
raikkonen,1,10,1:55.745
kovalainen,1,11,1:56.517
nakajima,1,12,1:57.297
kubica,1,13,1:57.663
piquet_jr,1,14,1:58.808
hamilton,1,15,1:59.979
fisichella,1,16,2:06.274
webber,1,1,1:31.460
vettel,1,2,1:32.211
hamilton,1,3,1:33.114
alonso,1,4,1:33.939
button,1,5,1:34.658
michael_schumacher,1,6,1:35.377
massa,1,7,1:36.207
sutil,1,8,1:36.717
alguersuari,1,9,1:37.513
kubica,1,10,1:38.045
rosberg,1,11,1:38.435
barrichello,1,12,1:38.788
hulkenberg,1,13,1:39.151
liuzzi,1,14,1:40.048
trulli,1,15,1:40.643
kobayashi,1,16,1:40.998
glock,1,17,1:41.687
chandhok,1,18,1:43.759
petrov,1,19,1:43.913
grassi,1,20,1:44.668
buemi,1,21,1:46.064
rosa,1,22,2:11.181
alonso,1,1,1:34.494
vettel,1,2,1:35.274
webber,1,3,1:36.329
hamilton,1,4,1:36.991
petrov,1,5,1:38.084
michael_schumacher,1,6,1:38.633
rosberg,1,7,1:39.139
massa,1,8,1:39.979
buemi,1,9,1:40.611
button,1,10,1:40.998
perez,1,11,1:41.433
alguersuari,1,12,1:41.876
maldonado,1,13,1:42.255
resta,1,14,1:42.808
trulli,1,15,1:43.553
kovalainen,1,16,1:44.276
heidfeld,1,17,1:45.164
sutil,1,18,1:46.107
liuzzi,1,19,1:46.737
barrichello,1,20,1:47.077
glock,1,21,1:47.556
karthikeyan,1,22,1:48.183
ambrosio,1,23,1:48.573
kobayashi,1,24,1:57.590
alonso,1,1,1:33.726
maldonado,1,2,1:35.034
raikkonen,1,3,1:36.119
rosberg,1,4,1:37.175
grosjean,1,5,1:38.392
michael_schumacher,1,6,1:38.764
vettel,1,7,1:39.378
button,1,8,1:40.104
kobayashi,1,9,1:40.542
vergne,1,10,1:40.893
massa,1,11,1:41.325
webber,1,12,1:41.889
resta,1,13,1:42.348
hulkenberg,1,14,1:42.673
ricciardo,1,15,1:43.148
kovalainen,1,16,1:43.592
bruno_senna,1,17,1:44.152
petrov,1,18,1:44.564
glock,1,19,1:45.224
hamilton,1,20,1:45.471
pic,1,21,1:46.179
rosa,1,22,1:46.617
karthikeyan,1,23,1:47.079
perez,1,24,2:04.682
rosberg,1,1,1:34.590
vettel,1,2,1:35.032
alonso,1,3,1:35.662
hamilton,1,4,1:36.328
raikkonen,1,5,1:36.831
perez,1,6,1:38.000
massa,1,7,1:38.200
sutil,1,8,1:38.939
grosjean,1,9,1:39.396
resta,1,10,1:39.883
webber,1,11,1:40.257
vergne,1,12,1:40.925
hulkenberg,1,13,1:41.552
ricciardo,1,14,1:41.943
maldonado,1,15,1:42.539
gutierrez,1,16,1:43.136
button,1,17,1:43.457
bottas,1,18,1:43.731
garde,1,19,1:43.934
chilton,1,20,1:44.371
jules_bianchi,1,21,1:44.822
pic,1,22,1:45.027
hamilton,1,1,1:36.072
rosberg,1,2,1:37.222
bottas,1,3,1:38.418
ricciardo,1,4,1:38.993
grosjean,1,5,1:40.112
raikkonen,1,6,1:40.717
alonso,1,7,1:41.298
massa,1,8,1:41.799
hulkenberg,1,9,1:42.763
perez,1,10,1:43.336
gutierrez,1,11,1:43.799
kvyat,1,12,1:44.283
button,1,13,1:44.891
vettel,1,14,1:45.306
kevin_magnussen,1,15,1:46.473
sutil,1,16,1:46.905
jules_bianchi,1,17,1:47.132
kobayashi,1,18,1:47.635
vergne,1,19,1:47.717
maldonado,1,20,1:48.117
chilton,1,21,1:48.607
ericsson,1,22,1:49.359
rosberg,1,1,1:35.658
vettel,1,2,1:36.832
hamilton,1,3,1:38.042
bottas,1,4,1:39.104
raikkonen,1,5,1:39.950
max_verstappen,1,6,1:40.837
sainz,1,7,1:41.484
massa,1,8,1:41.963
grosjean,1,9,1:42.440
ricciardo,1,10,1:43.028
maldonado,1,11,1:43.399
alonso,1,12,1:44.024
kvyat,1,13,1:44.331
nasr,1,14,1:44.865
ericsson,1,15,1:45.239
perez,1,16,1:45.766
button,1,17,1:46.194
hulkenberg,1,18,1:46.537
merhi,1,19,1:47.600
stevens,1,20,1:48.007
ricciardo,1,1,1:53.669
max_verstappen,1,2,1:54.582
sainz,1,3,1:55.665
vettel,1,4,1:56.984
raikkonen,1,5,1:58.161
bottas,1,6,1:58.967
perez,1,7,2:00.031
button,1,8,2:02.543
alonso,1,9,2:03.037
grosjean,1,10,2:03.549
kvyat,1,11,2:04.694
hulkenberg,1,12,2:05.281
kevin_magnussen,1,13,2:06.702
gutierrez,1,14,2:07.235
jolyon_palmer,1,15,2:08.355
nasr,1,16,2:09.287
ericsson,1,17,2:10.300
wehrlein,1,18,2:11.424
massa,1,19,2:12.372
haryanto,1,20,2:13.108
vettel,1,1,1:29.278
hamilton,1,2,1:31.485
bottas,1,3,1:32.847
ricciardo,1,4,1:33.623
perez,1,5,1:35.407
ocon,1,6,1:36.329
hulkenberg,1,7,1:37.124
kevin_magnussen,1,8,1:38.119
sainz,1,9,1:39.025
grosjean,1,10,1:39.816
alonso,1,11,1:40.264
wehrlein,1,12,1:40.702
stroll,1,13,1:41.304
jolyon_palmer,1,14,1:44.121
ericsson,1,15,1:44.351
vandoorne,1,16,1:45.048
kvyat,1,17,1:45.309
massa,1,18,1:55.686
max_verstappen,1,19,2:40.999
hamilton,1,1,1:48.152
vettel,1,2,1:49.029
bottas,1,3,1:51.072
raikkonen,1,4,1:52.295
max_verstappen,1,5,1:53.164
ricciardo,1,6,1:54.044
kevin_magnussen,1,7,1:56.040
sainz,1,8,1:57.373
leclerc,1,9,1:58.679
ocon,1,10,2:00.261
alonso,1,11,2:02.514
stroll,1,12,2:03.922
perez,1,13,2:05.103
vandoorne,1,14,2:06.642
brendon_hartley,1,15,2:11.078
ericsson,1,16,2:11.849
sirotkin,1,17,2:15.710
hamilton,1,1,1:26.434
bottas,1,2,1:28.519
max_verstappen,1,3,1:29.414
vettel,1,4,1:30.453
leclerc,1,5,1:31.214
gasly,1,6,1:31.885
grosjean,1,7,1:32.573
kevin_magnussen,1,8,1:33.075
kvyat,1,9,1:33.892
albon,1,10,1:34.539
sainz,1,11,1:35.138
ricciardo,1,12,1:35.756
perez,1,13,1:36.385
stroll,1,14,1:36.721
giovinazzi,1,15,1:37.251
norris,1,16,1:37.604
kubica,1,17,1:38.564
hulkenberg,1,18,1:38.687
russell,1,19,1:39.457
raikkonen,1,20,1:43.029
bottas,1,1,1:32.846
hamilton,1,2,1:33.847
max_verstappen,1,3,1:35.298
hulkenberg,1,4,1:36.138
stroll,1,5,1:36.874
ricciardo,1,6,1:37.686
gasly,1,7,1:38.443
norris,1,8,1:39.451
albon,1,9,1:39.919
leclerc,1,10,1:40.456
sainz,1,11,1:40.996
ocon,1,12,1:41.495
kevin_magnussen,1,13,1:41.958
kvyat,1,14,1:42.608
giovinazzi,1,15,1:43.606
grosjean,1,16,1:43.776
russell,1,17,1:44.029
latifi,1,18,1:44.999
raikkonen,1,19,1:45.241
vettel,1,20,1:45.844
max_verstappen,1,1,1:21.986
bottas,1,2,1:23.015
sainz,1,3,1:24.727
norris,1,4,1:25.729
gasly,1,5,1:26.902
hamilton,1,6,1:27.982
vettel,1,7,1:28.935
perez,1,8,1:29.638
giovinazzi,1,9,1:30.113
ocon,1,10,1:30.963
stroll,1,11,1:31.448
raikkonen,1,12,1:33.051
ricciardo,1,13,1:33.662
alonso,1,14,1:34.069
russell,1,15,1:34.901
latifi,1,16,1:36.040
tsunoda,1,17,1:36.731
mick_schumacher,1,18,1:37.443
mazepin,1,19,1:38.076
leclerc,1,1,1:36.677
max_verstappen,1,2,1:37.528
sainz,1,3,1:38.365
perez,1,4,1:39.040
bottas,1,5,1:39.966
gasly,1,6,1:40.671
alonso,1,7,1:41.480
hamilton,1,8,1:41.774
norris,1,9,1:42.873
tsunoda,1,10,1:43.367
ricciardo,1,11,1:44.136
mick_schumacher,1,12,1:44.379
kevin_magnussen,1,13,1:44.954
zhou,1,14,1:45.500
russell,1,15,1:46.166
albon,1,16,1:46.365
latifi,1,17,1:47.320
ocon,1,18,1:47.446
stroll,1,19,1:53.387
vettel,1,20,1:54.106
